ddodyear,censuscode,deathcount
2017,2870,2
2017,2980,6
2017,2990,4
2017,3070,1
2017,3095,1
2017,3291,2
2017,3370,1
2017,3380,1
2017,3390,3
2017,3470,1
2017,3490,3
2017,3570,9
2017,3580,7
2017,3590,5
2017,3670,1
2017,3680,7
2017,3770,5
2017,3780,1
2017,3875,3
2017,3895,3
2017,3960,3
2017,3980,4
2017,3990,25
2017,4070,2
2017,4170,1
2017,4195,1
2017,4270,4
2017,4280,2
2017,4290,1
2017,4370,1
2017,4390,2
2017,4470,6
2017,4560,1
2017,4580,3
2017,4590,3
2017,4670,11
2017,4680,1
2017,4690,6
2017,4770,5
2017,4795,5
2017,4870,6
2017,4880,1
2017,4890,1
2017,4971,16
2017,4972,2
2017,4980,5
2017,4990,1
2017,5070,5
2017,5170,3
2017,5190,4
2017,5275,3
2017,5370,1
2017,5381,2
2017,5470,3
2017,5480,1
2017,5490,2
2017,5580,2
2017,5680,3
2017,5690,1
2017,5790,29
2017,6070,9
2017,6080,9
2017,6090,1
2017,6170,24
2017,6180,5
2017,6290,16
2017,6370,13
2017,6380,2
2017,6390,6
2017,6470,4
2017,6480,4
2017,6570,7
2017,6670,1
2017,6680,19
2017,6690,5
2017,6770,1
2017,6870,17
2017,6890,5
2017,6970,3
2017,6991,18
2017,6992,14
2017,7071,7
2017,7072,5
2017,7270,14
2017,7280,11
2017,7290,8
2017,7370,1
2017,7380,17
2017,7390,2
2017,7460,5
2017,7470,2
2017,7480,1
2017,7490,3
2017,7570,1
2017,7580,4
2017,7590,2
2017,7670,2
2017,7680,4
2017,7690,13
2017,7770,8
2017,7790,1
2017,7860,87
2017,7870,17
2017,7890,7
2017,7970,11
2017,7980,8
2017,7990,2
2017,8080,6
2017,8090,7
2017,8170,2
2017,8191,83
2017,8192,3
2017,8270,13
2017,8290,5
2017,8370,17
2017,8380,1
2017,8470,14
2017,8561,1
2017,8562,2
2017,8563,1
2017,8564,12
2017,8570,1
2017,8580,1
2017,8590,2
2017,8660,6
2017,8670,1
2017,8680,41
2017,8690,5
2017,8770,18
2017,8780,1
2017,8790,1
2017,8870,11
2017,8891,6
2017,8970,2
2017,8980,3
